 "tabcon", table of the Hertzian creep-force law (con93)
 Delft University of Technology
 Author: J.J. Kalker

   7     0   433         0     0   itab,idl,idr,il,ir
aob,upsx,upsy,phi  Fx,Fy,aM with  si=0.28,N=1,c=1,Ga=1.
   .6664E-17   1.000       .3815E-09
   .5332E-17   1.000       .3048E-09
   .4446E-17   1.000       .2536E-09
   .3810E-17   1.000       .2170E-09
   .7433E-20   1.000      -.2304E-11
  -.5359E-18   1.000      -.3364E-10
  -.1079E-17   1.000      -.6497E-10
  -.1623E-17   1.000      -.9630E-10
  -.2167E-17   1.000      -.1277E-09
  -.2710E-17   1.000      -.1590E-09
  -.3252E-17   1.000      -.1903E-09
  -.3796E-17   1.000      -.2216E-09
   .3557E-08   .5902      -.8711    
  -.2663E-16   1.000      -.1538E-08
  -.1331E-16   1.000      -.7700E-09
  -.8868E-17   1.000      -.5141E-09
  -.6649E-17   1.000      -.3862E-09
  -.5318E-17   1.000      -.3094E-09
  -.4431E-17   1.000      -.2582E-09
  -.3796E-17   1.000      -.2216E-09
   0  288 a/b   upsx       upsy       phi          Fx          Fy         aM
   .7614E-09   1.000      -.3294E-02
   .2113E-09   .9994       .4153E-01
   .9479E-09   .9974       .8591E-01
   .1652E-08   .9940       .1295    
   .2310E-08   .9894       .1719    
   .2910E-08   .9836       .2129    
   .3443E-08   .9768       .2521    
   .3903E-08   .9692       .2897    
  -.1360E-07   .1653E-01   1.025    
  -.2486E-08   .6070       .8603    
   .9811E-08   .7932       .6855    
   .9059E-08   .8764       .5529    
   .7891E-08   .9195       .4562    
   .6833E-08   .9442       .3849    
   .5958E-08   .9593       .3313    
   .5253E-08   .9692       .2897    
   .3717E-08   1.000      -.3294E-02
  -.2364E-09   .9992      -.4816E-01
  -.1017E-08   .9969      -.9266E-01
  -.1762E-08   .9933      -.1364    
  -.2455E-08   .9885      -.1792    
  -.3082E-08   .9824      -.2205    
  -.3634E-08   .9753      -.2601    
  -.4104E-08   .9673      -.2981    
   .1360E-07  -.1653E-01  -1.025    
   .3882E-08   .5834      -.8753    
  -.3413E-08   .7824      -.6993    
  -.7200E-08   .8702      -.5649    
  -.6767E-08   .9154      -.4668    
  -.6131E-08   .9412      -.3944    
  -.5499E-08   .9570      -.3401    
  -.4937E-08   .9673      -.2981    
   0  320 a/b   upsx       upsy       phi          Fx          Fy         aM
